"Cód_IBGE","Município","Sigla UF","Região","Mês/Ano","Vítimas"
"1200138","Bujari","AC","NORTE","Jan-18","1"
"1200203","Cruzeiro Do Sul","AC","NORTE","Jan-18","8"
"1200302","Feijó","AC","NORTE","Jan-18","3"
"1200328","Jordão","AC","NORTE","Jan-18","1"
"1200336","Mâncio Lima","AC","NORTE","Jan-18","1"
"1200401","Rio Branco","AC","NORTE","Jan-18","31"
"1200427","Rodrigues Alves","AC","NORTE","Jan-18","2"
"1200500","Sena Madureira","AC","NORTE","Jan-18","1"
"1200450","Senador Guiomard","AC","NORTE","Jan-18","1"
"1200609","Tarauacá","AC","NORTE","Jan-18","1"
"1200708","Xapuri","AC","NORTE","Jan-18","1"
"1200179","Capixaba","AC","NORTE","Feb-18","3"
"1200203","Cruzeiro Do Sul","AC","NORTE","Feb-18","4"
"1200302","Feijó","AC","NORTE","Feb-18","1"
"1200807","Porto Acre","AC","NORTE","Feb-18","1"
"1200401","Rio Branco","AC","NORTE","Feb-18","18"
"1200609","Tarauacá","AC","NORTE","Feb-18","1"
"1200138","Bujari","AC","NORTE","Mar-18","1"
"1200179","Capixaba","AC","NORTE","Mar-18","1"
"1200203","Cruzeiro Do Sul","AC","NORTE","Mar-18","9"
"1200385","Plácido De Castro","AC","NORTE","Mar-18","1"
"1200401","Rio Branco","AC","NORTE","Mar-18","11"
"1200500","Sena Madureira","AC","NORTE","Mar-18","2"
"1200450","Senador Guiomard","AC","NORTE","Mar-18","2"
"1200609","Tarauacá","AC","NORTE","Mar-18","2"
"1200013","Acrelândia","AC","NORTE","Apr-18","1"
"1200104","Brasiléia","AC","NORTE","Apr-18","2"
"1200203","Cruzeiro Do Sul","AC","NORTE","Apr-18","3"
"1200302","Feijó","AC","NORTE","Apr-18","1"
"1200385","Plácido De Castro","AC","NORTE","Apr-18","3"
"1200807","Porto Acre","AC","NORTE","Apr-18","2"
"1200401","Rio Branco","AC","NORTE","Apr-18","15"
"1200450","Senador Guiomard","AC","NORTE","Apr-18","1"
"1200609","Tarauacá","AC","NORTE","Apr-18","2"
"1200013","Acrelândia","AC","NORTE","May-18","1"
"1200104","Brasiléia","AC","NORTE","May-18","1"
"1200203","Cruzeiro Do Sul","AC","NORTE","May-18","6"
"1200302","Feijó","AC","NORTE","May-18","2"
"1200385","Plácido De Castro","AC","NORTE","May-18","1"
"1200401","Rio Branco","AC","NORTE","May-18","22"
"1200427","Rodrigues Alves","AC","NORTE","May-18","1"
"1200500","Sena Madureira","AC","NORTE","May-18","1"
"1200609","Tarauacá","AC","NORTE","May-18","1"
"1200054","Assis Brasil","AC","NORTE","Jun-18","1"
"1200179","Capixaba","AC","NORTE","Jun-18","1"
"1200203","Cruzeiro Do Sul","AC","NORTE","Jun-18","7"
"1200252","Epitaciolândia","AC","NORTE","Jun-18","1"
"1200302","Feijó","AC","NORTE","Jun-18","2"
"1200385","Plácido De Castro","AC","NORTE","Jun-18","1"
"1200807","Porto Acre","AC","NORTE","Jun-18","1"
"1200401","Rio Branco","AC","NORTE","Jun-18","18"
"1200500","Sena Madureira","AC","NORTE","Jun-18","4"
"1200013","Acrelândia","AC","NORTE","Jul-18","1"
"1200054","Assis Brasil","AC","NORTE","Jul-18","4"
"1200104","Brasiléia","AC","NORTE","Jul-18","1"
"1200203","Cruzeiro Do Sul","AC","NORTE","Jul-18","7"
"1200302","Feijó","AC","NORTE","Jul-18","2"
"1200336","Mâncio Lima","AC","NORTE","Jul-18","2"
"1200401","Rio Branco","AC","NORTE","Jul-18","33"
"1200500","Sena Madureira","AC","NORTE","Jul-18","1"
"1200179","Capixaba","AC","NORTE","Aug-18","1"
"1200203","Cruzeiro Do Sul","AC","NORTE","Aug-18","6"
"1200336","Mâncio Lima","AC","NORTE","Aug-18","4"
"1200401","Rio Branco","AC","NORTE","Aug-18","19"
"1200609","Tarauacá","AC","NORTE","Aug-18","3"
"1200179","Capixaba","AC","NORTE","Sep-18","2"
"1200203","Cruzeiro Do Sul","AC","NORTE","Sep-18","3"
"1200351","Marechal Thaumaturgo","AC","NORTE","Sep-18","1"
"1200401","Rio Branco","AC","NORTE","Sep-18","15"
"1200500","Sena Madureira","AC","NORTE","Sep-18","1"
"1200450","Senador Guiomard","AC","NORTE","Sep-18","1"
"1200609","Tarauacá","AC","NORTE","Sep-18","2"
"1200013","Acrelândia","AC","NORTE","Oct-18","1"
"1200054","Assis Brasil","AC","NORTE","Oct-18","1"
"1200104","Brasiléia","AC","NORTE","Oct-18","1"
"1200138","Bujari","AC","NORTE","Oct-18","0"
"1200179","Capixaba","AC","NORTE","Oct-18","1"
"1200203","Cruzeiro Do Sul","AC","NORTE","Oct-18","3"
"1200252","Epitaciolândia","AC","NORTE","Oct-18","0"
"1200302","Feijó","AC","NORTE","Oct-18","3"
"1200328","Jordão","AC","NORTE","Oct-18","0"
"1200336","Mâncio Lima","AC","NORTE","Oct-18","0"
"1200344","Manoel Urbano","AC","NORTE","Oct-18","0"
"1200351","Marechal Thaumaturgo","AC","NORTE","Oct-18","0"
"1200385","Plácido De Castro","AC","NORTE","Oct-18","1"
"1200393","Porto Walter","AC","NORTE","Oct-18","0"
"1200401","Rio Branco","AC","NORTE","Oct-18","13"
"1200427","Rodrigues Alves","AC","NORTE","Oct-18","0"
"1200435","Santa Rosa Do Purus","AC","NORTE","Oct-18","0"
"1200450","Senador Guiomard","AC","NORTE","Oct-18","1"
"1200500","Sena Madureira","AC","NORTE","Oct-18","0"
